id,timestamp,symbol,interval,close,return_pct,ma_short,ma_long,rsi,volatility,avg_volume,relative_volume,momentum,trend_strength,high,source,market_cap,market_rank,cryptocompare_market_cap,cryptocompare_supply,fear_greed_value,fear_greed_label,canonical_symbol,is_exchange_source,is_external_source,future_return_target,up_move_target,binary_breakout_target,btc_correlation_24
6605121,2026-02-12 23:00:00,BTCUSDT,1h,66270.7,-0.00023880642046825162,65958.89,66872.15095238095,39.0171731786361,0.006804363549754235,1108.538622,0.818318714383954,0.010385884028208281,-0.013656820356074295,66488.11,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,5,Extreme Fear,BTC,0,1,-0.0013283396734906638,0.0,0.0,0.0
6605122,2026-02-13 00:00:00,BTCUSDT,1h,65920.09,-0.005335120307664476,65823.76333333334,66792.98952380952,31.650019178327028,0.006672361853979149,1117.389175,0.6849806469621472,0.0019796815120487476,-0.01451089698763497,66524.44,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.0067433160361281,0.0,0.0,0.0
6605123,2026-02-13 01:00:00,BTCUSDT,1h,66451.73,0.008136550230132267,65889.49444444444,66766.15857142858,36.892941693941715,0.006933113698820494,1121.7722589999998,0.6878271715221654,0.015687186146233323,-0.013130366427270945,66617.12,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,-0.003610289754683471,0.0,0.0,0.0
6605124,2026-02-13 02:00:00,BTCUSDT,1h,66666.37,0.0031318961191002526,66028.28222222223,66743.35619047619,40.27534438269961,0.006977996423798766,1104.0574545000002,0.4315476590987502,0.012349454904011292,-0.010713784997764209,66759.25,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.0004957522060973218,0.0,0.0,0.0
6605125,2026-02-13 03:00:00,BTCUSDT,1h,66554.01,-0.0016500887747761261,66135.18555555557,66716.09476190477,34.225996872015614,0.006972403766291466,1102.1781365,0.5171245292616091,0.0039989138305576155,-0.00870718240362145,66802.74,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.006117888313566633,0.0,0.0,0.9999999999999998
6605126,2026-02-13 04:00:00,BTCUSDT,1h,66330.88,-0.0033636309544201604,66195.28111111111,66673.78523809524,38.012020644149715,0.006999842619462782,1086.134325,0.42549999513181763,0.0008608440013357921,-0.007176795576782857,66671.83,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.009798151328611837,0.0,1.0,0.9999999999999999
6605127,2026-02-13 05:00:00,BTCUSDT,1h,66182.67,-0.0023131585144526845,66278.30666666667,66627.81571428571,40.245711042349356,0.006836628431969714,1078.145672,0.4491512720184624,0.00390163019238865,-0.0052456927166546485,66502.71,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.014946662018924473,1.0,1.0,0.9999999999999999
6605128,2026-02-13 06:00:00,BTCUSDT,1h,66364.61,0.0027727662941388065,66334.90777777777,66571.09238095238,56.477995637009684,0.006657107005756177,1066.673634,0.5755894871964183,-0.0014396218791827842,-0.003547855303666081,66397.63,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.010837402645777594,1.0,1.0,0.9999999999999997
6605129,2026-02-13 07:00:00,BTCUSDT,1h,66211.82,-0.0022652445897543005,66326.12555555555,66485.13761904761,61.2646977971372,0.006642510610534319,1040.1963185,0.8345089715869823,-0.006812166494557292,-0.002391693379702131,66568.64,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.016020100338579812,1.0,1.0,0.9999999999999998
6605130,2026-02-13 08:00:00,BTCUSDT,1h,66699.42,0.007415914703991833,66373.65777777777,66419.61142857143,64.43035108766662,0.006895995645039629,1028.884735,0.5860972949511201,0.0022069602188208304,-0.0006918687087333897,66746.15,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.015486941265756116,1.0,1.0,1.0
6605131,2026-02-13 09:00:00,BTCUSDT,1h,66961.18,0.0038943051839910314,66489.33666666667,66376.48761904762,64.99819460840936,0.0067183199470448466,1010.5149739999999,0.5867648726202844,0.009505463806147585,0.0017001358714054948,67061.79,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.025907846904729137,1.0,1.0,0.9999999999999998
6605132,2026-02-13 10:00:00,BTCUSDT,1h,66980.8,0.00026807165084785645,66547.41555555555,66309.87238095238,71.73797121623757,0.006258546291469214,964.7730370000002,0.535787040242502,0.012117271286070208,0.0035823198880322593,67114.51,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.02948785323555403,1.0,1.0,0.9999999999999997
6605133,2026-02-13 11:00:00,BTCUSDT,1h,67171.88,0.0028929048879879904,66603.89777777778,66290.5580952381,69.80995751850517,0.006133935177738189,909.06345,0.5375979531461748,0.012238529411410015,0.004726761872927865,67222.49,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.027853024211917266,1.0,1.0,0.9999999999999996
6605134,2026-02-13 12:00:00,BTCUSDT,1h,67083.83,-0.0013014463591807246,66662.88888888889,66288.1419047619,63.33395871163143,0.004349613227901408,769.6756584999999,0.5266632451258688,0.013216338090796143,0.00565330349228077,67208.45,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.030459352127032657,1.0,1.0,0.9999999999999998
6605135,2026-02-13 13:00:00,BTCUSDT,1h,67272.54,0.002834505992487024,66767.88111111111,66355.3219047619,65.85822903411649,0.003982944657396995,745.8509165,2.1774665071421144,0.008608550889685596,0.006217424533654592,67614.39,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.02474144725321814,1.0,1.0,0.9999999999999998
6605136,2026-02-13 14:00:00,BTCUSDT,1h,67732.39,0.006828179917546251,66940.96111111112,66465.77523809524,77.79367038594529,0.004147882880698251,751.444319,2.2942996525601522,0.011556202976386709,0.0071493316870772095,68018.28,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.0154481482197808,1.0,1.0,0.9999999999999998
6605137,2026-02-13 15:00:00,BTCUSDT,1h,68696.0,0.01415266977896179,67200.16555555556,66613.45,80.3367297402115,0.004965343208184108,856.7168545000001,3.6570859830095706,0.025597490267650347,0.00880776413105111,69303.55,cryptocompare,1339381868559.0,1.0,1342135484925.4033,20009546.0,9,Extreme Fear,BTC,0,1,0.0030058518691045144,0.0,1.0,0.9999999999999998
