source,symbol,base_asset,quote_asset,price,volume_24h,market_cap,rank,timestamp,raw_symbol,canonical_symbol,exchange,extra_metadata
coinmarketcap,WLFI,WLFI,USD,0.09811655533134149,42845849.63038984,2822059506.34,32,2026-03-31 13:33:59.686346+00:00,world-liberty-financial-wlfi,WLFI,,"{""name"": ""World Liberty Financial"", ""circulating_supply"": 28762317397.0, ""percent_change_24h"": -2.13109163}"
coinmarketcap,XAUT,XAUT,USD,4562.591707762058,446899743.3272336,2553220122.26,33,2026-03-31 13:33:59.686346+00:00,tether-gold,XAUT,,"{""name"": ""Tether Gold"", ""circulating_supply"": 559598.641692, ""percent_change_24h"": 0.10776107}"
coinmarketcap,PAXG,PAXG,USD,4573.877652488323,359162092.80408984,2351562242.54,34,2026-03-31 13:33:59.686346+00:00,pax-gold,PAXG,,"{""name"": ""PAX Gold"", ""circulating_supply"": 514128.803, ""percent_change_24h"": 0.21217}"
coinmarketcap,MNT,MNT,USD,0.6844462206165635,41614617.04499961,2243576420.2,35,2026-03-31 13:33:59.686346+00:00,mantle,MNT,,"{""name"": ""Mantle"", ""circulating_supply"": 3277944055.53684, ""percent_change_24h"": -1.00639567}"
coinmarketcap,UNI,UNI,USD,3.4963052008922153,126312607.55026795,2212712136.33,36,2026-03-31 13:33:59.686346+00:00,uniswap,UNI,,"{""name"": ""Uniswap"", ""circulating_supply"": 632871562.7465303, ""percent_change_24h"": -1.53904615}"
coinmarketcap,DOT,DOT,USD,1.2567424426071159,118442361.07792863,2107586555.71,37,2026-03-31 13:33:59.686346+00:00,polkadot-new,DOT,,"{""name"": ""Polkadot"", ""circulating_supply"": 1677023457.0426261, ""percent_change_24h"": -1.47379522}"
coinmarketcap,USDG,USDG,USD,0.9997216437298533,58635663.52695244,1821204125.06,38,2026-03-31 13:33:59.686346+00:00,global-dollar-usdg,USDG,,"{""name"": ""Global Dollar"", ""circulating_supply"": 1821711209.79922, ""percent_change_24h"": -0.02650693}"
coinmarketcap,OKB,OKB,USD,82.5939435664747,22651478.17739117,1734472814.9,39,2026-03-31 13:33:59.686346+00:00,okb,OKB,,"{""name"": ""OKB"", ""circulating_supply"": 21000000.0, ""percent_change_24h"": -2.88264834}"
coinmarketcap,PI,PI,USD,0.17300155936055311,15460007.84522812,1723490648.5,40,2026-03-31 13:33:59.686346+00:00,pi,PI,,"{""name"": ""Pi"", ""circulating_supply"": 9962283894.281307, ""percent_change_24h"": -1.77354133}"
coinmarketcap,SKY,SKY,USD,0.07366896909984973,124877153.89011355,1703999011.55,41,2026-03-31 13:33:59.686346+00:00,sky,SKY,,"{""name"": ""Sky"", ""circulating_supply"": 23130485364.10636, ""percent_change_24h"": -1.68108542}"
coinmarketcap,ASTER,ASTER,USD,0.6623215950257841,100249755.53933433,1640662550.08,42,2026-03-31 13:33:59.686346+00:00,aster,ASTER,,"{""name"": ""Aster"", ""circulating_supply"": 2477138843.7347484, ""percent_change_24h"": -2.29515357}"
coinmarketcap,NEAR,NEAR,USD,1.1805091358521334,180070098.87959018,1524757005.95,43,2026-03-31 13:33:59.686346+00:00,near-protocol,NEAR,,"{""name"": ""NEAR Protocol"", ""circulating_supply"": 1291609662.0, ""percent_change_24h"": -1.80920953}"
coinmarketcap,AAVE,AAVE,USD,96.94617150883715,188005652.500077,1490780169.03,44,2026-03-31 13:33:59.686346+00:00,aave,AAVE,,"{""name"": ""Aave"", ""circulating_supply"": 15377401.14774999, ""percent_change_24h"": -2.59108693}"
coinmarketcap,USDD,USDD,USD,0.999182742363035,4401448.31766244,1417117504.62,45,2026-03-31 13:33:59.686346+00:00,usdd,USDD,,"{""name"": ""USDD"", ""circulating_supply"": 1418276602.0, ""percent_change_24h"": 0.00939741}"
coinmarketcap,RLUSD,RLUSD,USD,1.0001749311588521,172281991.9916193,1386598468.5,46,2026-03-31 13:33:59.686346+00:00,ripple-usd,RLUSD,,"{""name"": ""Ripple USD"", ""circulating_supply"": 1386355951.647311, ""percent_change_24h"": 0.0506294}"
coinmarketcap,PEPE,PEPE,USD,3.325900549881997e-06,220709153.59617096,1376166173.51,47,2026-03-31 13:33:59.686346+00:00,pepe,PEPE,,"{""name"": ""Pepe"", ""circulating_supply"": 413772496461667.2, ""percent_change_24h"": -1.03105139}"
coinmarketcap,BGB,BGB,USD,1.9228005308951563,21185927.1919928,1342796292.76,48,2026-03-31 13:33:59.686346+00:00,bitget-token-new,BGB,,"{""name"": ""Bitget Token"", ""circulating_supply"": 698354442.4808381, ""percent_change_24h"": -0.19196603}"
coinmarketcap,ONDO,ONDO,USD,0.2608723755208508,53014123.40374797,1270273853.08,49,2026-03-31 13:33:59.686346+00:00,ondo-finance,ONDO,,"{""name"": ""Ondo"", ""circulating_supply"": 4869330647.0, ""percent_change_24h"": -2.53153697}"
coinmarketcap,ETC,ETC,USD,8.086249654736894,48297827.43798973,1262385989.74,50,2026-03-31 13:33:59.686346+00:00,ethereum-classic,ETC,,"{""name"": ""Ethereum Classic"", ""circulating_supply"": 156115139.11177024, ""percent_change_24h"": -2.2489267}"
coinmarketcap,ICP,ICP,USD,2.2625503233937017,48305839.06788477,1245943222.98,51,2026-03-31 13:33:59.686346+00:00,internet-computer,ICP,,"{""name"": ""Internet Computer"", ""circulating_supply"": 550680888.7742598, ""percent_change_24h"": -0.04132739}"
coinmarketcap,U,U,USD,0.9997572212390367,32696066.84165044,1104590046.93,52,2026-03-31 13:33:59.686346+00:00,united-stables,U,,"{""name"": ""United Stables"", ""circulating_supply"": 1104858283.05, ""percent_change_24h"": -0.00550876}"
coinmarketcap,KCS,KCS,USD,8.050169945863031,7915514.5679251,1063870384.17,53,2026-03-31 13:33:59.686346+00:00,kucoin-token,KCS,,"{""name"": ""KuCoin Token"", ""circulating_supply"": 132155021.73556715, ""percent_change_24h"": -0.80186531}"
coinmarketcap,POL,POL,USD,0.0891241166949554,60191645.01983935,946272519.98,54,2026-03-31 13:33:59.686346+00:00,polygon-ecosystem-token,POL,,"{""name"": ""Polygon (prev. MATIC)"", ""circulating_supply"": 10617468706.204592, ""percent_change_24h"": -4.69975108}"
coinmarketcap,WLD,WLD,USD,0.27442962517488406,137637846.30467945,886702940.85,55,2026-03-31 13:33:59.686346+00:00,worldcoin-org,WLD,,"{""name"": ""Worldcoin"", ""circulating_supply"": 3231075873.41059, ""percent_change_24h"": -2.81733493}"
coinmarketcap,RENDER,RENDER,USD,1.696246459070612,45316149.7678306,879916419.66,56,2026-03-31 13:33:59.686346+00:00,render,RENDER,,"{""name"": ""Render"", ""circulating_supply"": 518743261.01407415, ""percent_change_24h"": -2.26725783}"
