source,symbol,base_asset,quote_asset,price,volume_24h,market_cap,rank,timestamp,raw_symbol,canonical_symbol,exchange,extra_metadata
binance,ETH/BTC,ETH,BTC,0.03084,615.22023123,,,2026-03-31 13:33:53.697123+00:00,ETHBTC,ETH,binance,"{""price_change_percent"": 1.082, ""trade_count"": 54740}"
binance,LTC/BTC,LTC,BTC,0.000804,10.49342258,,,2026-03-31 13:33:53.697123+00:00,LTCBTC,LTC,binance,"{""price_change_percent"": 1.132, ""trade_count"": 2234}"
binance,BNB/BTC,BNB,BTC,0.009099,205.38318511,,,2026-03-31 13:33:53.697123+00:00,BNBBTC,BNB,binance,"{""price_change_percent"": -0.099, ""trade_count"": 31418}"
binance,NEO/BTC,NEO,BTC,3.879e-05,0.37036723,,,2026-03-31 13:33:53.697123+00:00,NEOBTC,NEO,binance,"{""price_change_percent"": -0.487, ""trade_count"": 104}"
binance,QTUM/ETH,QTUM,ETH,0.0004655,163.57504584,,,2026-03-31 13:33:53.697123+00:00,QTUMETH,QTUM,binance,"{""price_change_percent"": -9.979, ""trade_count"": 4000}"
binance,EOS/ETH,EOS,ETH,0.0003067,117.17343445,,,2026-03-31 13:33:53.697123+00:00,EOSETH,EOS,binance,"{""price_change_percent"": -0.325, ""trade_count"": 4000}"
binance,SNT/ETH,SNT,ETH,1.7e-05,160.35207145,,,2026-03-31 13:33:53.697123+00:00,SNTETH,SNT,binance,"{""price_change_percent"": 15.725, ""trade_count"": 4000}"
binance,BNT/ETH,BNT,ETH,0.0002026,57.33680762,,,2026-03-31 13:33:53.697123+00:00,BNTETH,BNT,binance,"{""price_change_percent"": -8.574, ""trade_count"": 4000}"
binance,BCC/BTC,BCC,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,BCCBTC,BCC,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,GAS/BTC,GAS,BTC,2.31e-05,0.41586384,,,2026-03-31 13:33:53.697123+00:00,GASBTC,GAS,binance,"{""price_change_percent"": -0.858, ""trade_count"": 179}"
binance,BNB/ETH,BNB,ETH,0.2951,6367.9854595,,,2026-03-31 13:33:53.697123+00:00,BNBETH,BNB,binance,"{""price_change_percent"": -1.106, ""trade_count"": 28607}"
binance,BTC/USDT,BTC,USDT,66764.48,1276826229.9408002,,,2026-03-31 13:33:53.697123+00:00,BTCUSDT,BTC,binance,"{""price_change_percent"": -1.811, ""trade_count"": 3934232}"
binance,ETH/USDT,ETH,USDT,2059.34,687640943.329121,,,2026-03-31 13:33:53.697123+00:00,ETHUSDT,ETH,binance,"{""price_change_percent"": -0.751, ""trade_count"": 4019230}"
binance,HSR/BTC,HSR,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,HSRBTC,HSR,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,OAX/ETH,OAX,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,OAXETH,OAX,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,DNT/ETH,DNT,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,DNTETH,DNT,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,MCO/ETH,MCO,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,MCOETH,MCO,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,ICN/ETH,ICN,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,ICNETH,ICN,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,MCO/BTC,MCO,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,MCOBTC,MCO,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,WTC/BTC,WTC,BTC,2.4e-07,8.84776703,,,2026-03-31 13:33:53.697123+00:00,WTCBTC,WTC,binance,"{""price_change_percent"": -73.034, ""trade_count"": 4000}"
binance,WTC/ETH,WTC,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,WTCETH,WTC,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,LRC/BTC,LRC,BTC,5.2e-07,4.31681597,,,2026-03-31 13:33:53.697123+00:00,LRCBTC,LRC,binance,"{""price_change_percent"": -8.772, ""trade_count"": 4000}"
binance,LRC/ETH,LRC,ETH,1.675e-05,117.75867359,,,2026-03-31 13:33:53.697123+00:00,LRCETH,LRC,binance,"{""price_change_percent"": -19.664, ""trade_count"": 4000}"
binance,QTUM/BTC,QTUM,BTC,1.628e-05,4.38452058,,,2026-03-31 13:33:53.697123+00:00,QTUMBTC,QTUM,binance,"{""price_change_percent"": -8.693, ""trade_count"": 4000}"
binance,YOYO/BTC,YOYO,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,YOYOBTC,YOYO,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,OMG/BTC,OMG,BTC,3.08e-05,19.34446564,,,2026-03-31 13:33:53.697123+00:00,OMGBTC,OMG,binance,"{""price_change_percent"": -14.917, ""trade_count"": 4000}"
binance,OMG/ETH,OMG,ETH,0.000791,314.520963,,,2026-03-31 13:33:53.697123+00:00,OMGETH,OMG,binance,"{""price_change_percent"": -25.095, ""trade_count"": 4000}"
binance,ZRX/BTC,ZRX,BTC,1.54e-06,3.80455335,,,2026-03-31 13:33:53.697123+00:00,ZRXBTC,ZRX,binance,"{""price_change_percent"": -18.519, ""trade_count"": 4000}"
binance,ZRX/ETH,ZRX,ETH,9.94e-05,249.5760308,,,2026-03-31 13:33:53.697123+00:00,ZRXETH,ZRX,binance,"{""price_change_percent"": -32.838, ""trade_count"": 4000}"
binance,STRAT/BTC,STRAT,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,STRATBTC,STRAT,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,STRAT/ETH,STRAT,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,STRATETH,STRAT,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,SNGLS/BTC,SNGLS,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,SNGLSBTC,SNGLS,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,SNGLS/ETH,SNGLS,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,SNGLSETH,SNGLS,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,BQX/BTC,BQX,BTC,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,BQXBTC,BQX,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,BQX/ETH,BQX,ETH,0.0,0.0,,,2026-03-31 13:33:53.697123+00:00,BQXETH,BQX,binance,"{""price_change_percent"": 0.0, ""trade_count"": 0}"
binance,KNC/BTC,KNC,BTC,2.11e-06,1.54963598,,,2026-03-31 13:33:53.697123+00:00,KNCBTC,KNC,binance,"{""price_change_percent"": -4.091, ""trade_count"": 689}"
binance,KNC/ETH,KNC,ETH,0.0003941,149.49148975,,,2026-03-31 13:33:53.697123+00:00,KNCETH,KNC,binance,"{""price_change_percent"": -20.975, ""trade_count"": 4000}"
