strategy_id,signal_definition,entry_rules,exit_rules,filters,target_definition,evaluation_metrics,promotion_status,asset_count,sample_count,win_rate,sharpe,max_drawdown,stability_score,alpha_discovery_score
strategy_003,rsi_oversold_volume_sentiment,"['trigger:rsi_oversold_volume_sentiment', 'regime:sideways']","['take_profit:0.03', 'stop_loss:0.015', 'time_exit:4_candles']","['max_volatility:0.05', 'min_relative_volume:1.0']","{'future_horizon': 4, 'return_threshold': 0.015}","{'win_rate': 1.0, 'avg_return': 0.03792997726933334, 'sharpe': 2.705564136870447, 'max_drawdown': 0.0, 'stability_score': 0.0104, 'sample_count': 3}",research_only,3,3,1.0,2.705564136870447,0.0,0.0104,112.54025743944673
strategy_001,breakout_news_volatility,"['trigger:breakout_news_volatility', 'regime:sideways']","['take_profit:0.03', 'stop_loss:0.015', 'time_exit:4_candles']","['max_volatility:0.05', 'min_relative_volume:1.0']","{'future_horizon': 4, 'return_threshold': 0.015}","{'win_rate': 1.0, 'avg_return': 0.027487051297669606, 'sharpe': 0.8135662809089917, 'max_drawdown': 0.0, 'stability_score': 0.0623, 'sample_count': 345}",candidate,3,345,1.0,0.8135662809089917,0.0,0.0623,67.579017412777
strategy_002,sma_macd_bullish,"['trigger:sma_macd_bullish', 'regime:sideways']","['take_profit:0.03', 'stop_loss:0.015', 'time_exit:4_candles']","['max_volatility:0.05', 'min_relative_volume:1.0']","{'future_horizon': 4, 'return_threshold': 0.015}","{'win_rate': 1.0, 'avg_return': 0.02615416146639715, 'sharpe': 0.6556697058826786, 'max_drawdown': 0.0, 'stability_score': 0.0588, 'sample_count': 277}",candidate,3,277,1.0,0.6556697058826786,0.0,0.0588,62.477889010415375
